Player,Team,Season,Position,Base Salary,Guaranteed Compensation,Date
Zlatan Ibrahimovic,LAG,2019,F,7200000,7200000,9/13/19
Michael Bradley,TOR,2019,M,6000000,6500000,9/13/19
Jozy Altidore,TOR,2019,F,4891250.04,6332250.04,9/13/19
Carlos Vela,LAFC,2019,M,4500000,6300000,9/13/19
Bastian Schweinsteiger,CHI,2019,M,5600000.04,5600000.04,9/13/19
Ignacio Piatti,MTL,2019,M,530000.04,4443333.37,9/13/19
Alejandro Pozuelo,TOR,2019,M,3800000.04,3800000.04,9/13/19
Wayne Rooney,DCU,2019,F,3500000.04,3507500.04,9/13/19
Josef Martínez,ATL,2019,F,3000000,3058333.33,9/13/19
Sebastián Blanco,POR,2019,M,2740008,2853341.33,9/13/19
Nicolás Lodeiro,SEA,2019,M,2000000.04,2502500.04,9/13/19
Nani,ORL,2019,M,2333333.04,2486249.7,9/13/19
Tim Howard,COL,2019,GK,2000000.04,2475000.04,9/13/19
Diego Valeri,POR,2019,M,2319999.96,2419999.96,9/13/19
Carles Gil,NER,2019,M,2100000,2337500,9/13/19
Marco Fabián,PHI,2019,M,2000727.24,2274087.24,9/13/19
Nicolás Gaitán,CHI,2019,M,1400004,2197504,9/13/19
Gustavo Bou,NER,2019,F,2100000,2100000,9/13/19
Albert Rusnák,RSL,2019,M,1800000,2001666.67,9/13/19
Raúl Ruidíaz,SEA,2019,F,2000004,2000004,9/13/19
Maximiliano Moralez,NYC,2019,M,2000000.04,2000000.04,9/13/19
Jonathan dos Santos,LAG,2019,M,2000000.04,2000000.04,9/13/19
Fanendo Adi,CIN,2019,F,1360008,1965008,9/13/19
Romain Alessandrini,LAG,2019,M,1610004,1940004,9/13/19
Nemanja Nikolic,CHI,2019,F,1700000.04,1913333.37,9/13/19
Darwin Quintero,MIN,2019,M,1750000.08,1750000.08,9/13/19
Felipe Gutiérrez,SKC,2019,M,1599999.96,1649999.96,9/13/19
Valeri Qazaishvili,SJE,2019,M,1475004,1604042.36,9/13/19
Bojan Krkić,MTL,2019,F,1232876.64,1532448.56,9/13/19
Dom Dwyer,ORL,2019,F,1320000,1503333.33,9/13/19
Gyasi Zardes,CLB,2019,F,1421666.64,1471666.64,9/13/19
Johnny Russell,SKC,2019,M,1449999.96,1449999.96,9/13/19
