Player,Team,Season,MinutesIncludes stoppage time.,Passes,Pass %Pass Completion,xPass %Expected pass completion percentage.,ScoreNumber of passes completed over/under expected.,"Per100Passes completed over/under expected, measured per 100 passes.","DistanceAverage distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","VerticalAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.",Touch %Players' share of their team's number of touches.
Alexander Callens,NYC,2020,711,180,0.9,0.8301,12.5829,6.9905,22.1148,6.6815,0.1569
Yeimar Gómez Andrade,SEA,2020,272,86,0.8953,0.7999,8.2124,9.5493,21.8365,9.4193,0.1664
Xavier Arreaga,SEA,2020,564,163,0.9018,0.8551,7.6149,4.6717,23.7041,6.3405,0.1595
David Bingham,LAG,2020,495,131,0.7099,0.6521,7.5743,5.7819,44.1617,36.3418,0.1907
Drew Moor,COL,2020,394,129,0.9147,0.8568,7.4687,5.7897,20.1264,8.3825,0.1856
Luis Binks,MTL,2020,549,144,0.8472,0.7981,7.0765,4.9142,23.6887,10.7525,0.1651
Guram Kashia,SJE,2020,675,219,0.8447,0.815,6.5139,2.9744,26.4998,11.1167,0.2105
Daniel Vega,SJE,2020,706,224,0.8036,0.7747,6.4687,2.8878,33.0867,23.4641,0.1846
Maikel van der Werff,CIN,2020,277,121,0.8843,0.831,6.4535,5.3335,20.6325,8.4824,0.1942
Francisco Calvo,CHI,2020,478,130,0.8077,0.7604,6.1459,4.7276,24.6233,12.3828,0.1882
Matt Turner,NER,2020,496,136,0.7426,0.7004,5.7512,4.2288,41.1922,32.9695,0.1866
Luis Martins,SKC,2020,626,69,0.8116,0.7296,5.6606,8.2038,22.0544,8.06,0.088
Pedro Gallese,ORL,2020,702,157,0.7962,0.7624,5.2998,3.3757,33.6133,26.3533,0.1271
Robin Jansson,ORL,2020,686,159,0.8742,0.8417,5.1771,3.2561,24.0257,10.3384,0.1531
Shane O'Neill,SEA,2020,339,81,0.9136,0.8538,4.8386,5.9735,23.6627,5.2985,0.1044
Jonathan Mensah,CLB,2020,601,201,0.8607,0.8374,4.6759,2.3263,24.2563,10.4003,0.224
Scott Caldwell,NER,2020,275,35,0.9714,0.8425,4.5118,12.8908,20.6221,6.4531,0.0679
Amro Tarek,NYRB,2020,504,61,0.8033,0.7301,4.4625,7.3155,23.2334,12.6368,0.1492
Andre Blake,PHI,2020,709,215,0.5442,0.5246,4.2042,1.9554,51.097,45.7047,0.2125
Mark McKenzie,PHI,2020,709,116,0.8448,0.8092,4.1367,3.5661,24.0493,9.1475,0.1385
Ben Sweat,MIA,2020,431,66,0.7879,0.7264,4.058,6.1485,18.833,9.3133,0.1202
