Player,Team,Season,Position,Base Salary,Guaranteed Compensation,Date
Ali Adnan,VAN,2019,D,1200000,1277499.9,9/13/19
Everton Luiz,RSL,2019,D,1000000.08,1100000.08,9/13/19
Everton Luiz,RSL,2019,D,1000000,1100000,6/1/19
Michael Mancienne,NER,2019,D,881676,995676,6/1/19
Michael Mancienne,NER,2019,D,881676,995676,9/13/19
Lamine Sané,ORL,2019,D,902500,950000,6/1/19
Lamine Sané,ORL,2019,D,902499.96,949999.96,9/13/19
Leandro González Pirez,ATL,2019,D,775008,810008,6/1/19
Leandro González Pirez,ATL,2019,D,775008,810008,9/13/19
Larrys Mabiala,POR,2019,D,750000,793333.33,9/13/19
Larrys Mabiala,POR,2019,D,750000,793333,6/1/19
Marcelo Silva,RSL,2019,D,725004,776629,6/1/19
Marcelo Silva,RSL,2019,D,725004,776629,9/13/19
Osvaldo Alonso,MIN,2019,D,650000.04,697500.04,9/13/19
Osvaldo Alonso,MIN,2019,D,650000,697500,6/1/19
Kellyn Acosta,COL,2019,D,550000,665000,6/1/19
Kellyn Acosta,COL,2019,D,549999.96,664999.96,9/13/19
Tommy Smith,COL,2019,D,600000,640000,6/1/19
Tommy Smith,COL,2019,D,600000,640000,9/13/19
Jorge Villafaña,POR,2019,D,600000,617500,6/1/19
Jorge Villafaña,POR,2019,D,600000,617500,9/13/19
Florian Jungwirth,SJE,2019,D,550008,616675.07,9/13/19
Florian Jungwirth,SJE,2019,D,550008,616675,6/1/19
Jorge Moreira,POR,2019,D,545455,607955,6/1/19
Jorge Moreira,POR,2019,D,545454.6,607954.6,9/13/19
Claude Dielna,POR,2019,D,560000.04,600000.04,9/13/19
Claude Dielna,POR,2019,D,560000,600000,6/1/19
Guram Kashia,SJE,2019,D,590000.04,590000.04,9/13/19
Guram Kashia,SJE,2019,D,590000,590000,6/1/19
Ali Adnan,VAN,2019,D,539000,547333,6/1/19
Danny Wilson,COL,2019,D,500000.04,540000.04,9/13/19
Danny Wilson,COL,2019,D,500000,540000,6/1/19
Oriol Rosell,ORL,2019,D,522500,522500,6/1/19
Oriol Rosell,ORL,2019,D,522499.92,522499.92,9/13/19
Nedum Onuoha,RSL,2019,D,450000,504000,6/1/19
Nedum Onuoha,RSL,2019,D,450000,504000,9/13/19
Aníbal Godoy,SJE,2019,D,450000,498125,9/13/19
Sebastián Méndez,ORL,2019,D,450000,486750,6/1/19
Sebastián Méndez,ORL,2019,D,450000,486750,9/13/19
Carlos Ascues,ORL,2019,D,420000,451500,6/1/19
Carlos Ascues,ORL,2019,D,420000,451500,9/13/19
Erik Godoy,VAN,2019,D,381818.16,449318.16,9/13/19
Erik Godoy,VAN,2019,D,381818,449318,6/1/19
Antonio Mlinar Delamea,NER,2019,D,425004,425004,6/1/19
Antonio Mlinar Delamea,NER,2019,D,425004,425004,9/13/19
Gabriel Somi,NER,2019,D,391000,425000,6/1/19
Romain Métanire,MIN,2019,D,305000.04,411833.37,9/13/19
Romain Métanire,MIN,2019,D,305000,411833,6/1/19
Marcos López,SJE,2019,D,280000,387750,6/1/19
Marcos López,SJE,2019,D,279999.96,387749.96,9/13/19
Ike Opara,MIN,2019,D,350000,367917,6/1/19
Ike Opara,MIN,2019,D,350000.04,367916.71,9/13/19
Justen Glad,RSL,2019,D,345000,366700,9/13/19
Kai Wagner,PHI,2019,D,318000,360150,6/1/19
Kai Wagner,PHI,2019,D,318000,360150,9/13/19
Justen Glad,RSL,2019,D,345000,345000,6/1/19
Andrew Farrell,NER,2019,D,209229.96,344229.96,9/13/19
Kyle Beckerman,RSL,2019,D,300000,325000,6/1/19
Kyle Beckerman,RSL,2019,D,300000,325000,9/13/19
Florentin Pogba,ATL,2019,D,300000,324000,6/1/19
Florentin Pogba,ATL,2019,D,300000,324000,9/13/19
Harold Cummings,SJE,2019,D,270000,320667,6/1/19
Harold Cummings,SJE,2019,D,270000,320666.67,9/13/19
Michael Boxall,MIN,2019,D,300000,317333.33,9/13/19
Michael Boxall,MIN,2019,D,300000,317333,6/1/19
Judson,SJE,2019,D,300000,305000,6/1/19
Judson,SJE,2019,D,300000,305000,9/13/19
Michael Parkhurst,ATL,2019,D,300000,300000,6/1/19
Franco Escobar,ATL,2019,D,300000,300000,6/1/19
Eric Remedi,ATL,2019,D,300000,300000,6/1/19
Luis Caicedo,NER,2019,D,300000,300000,6/1/19
Michael Parkhurst,ATL,2019,D,300000,300000,9/13/19
Franco Escobar,ATL,2019,D,300000,300000,9/13/19
Eric Remedi,ATL,2019,D,300000,300000,9/13/19
Luis Caicedo,NER,2019,D,300000,300000,9/13/19
Andrew Farrell,NER,2019,D,209230,294230,6/1/19
Robin Jansson,ORL,2019,D,261000,289800,6/1/19
Robin Jansson,ORL,2019,D,261000,289800,9/13/19
Francois Affolter,SJE,2019,D,249999.96,281999.96,9/13/19
Wilfried Moimbé,MIN,2019,D,252000,274275,9/13/19
Francois Affolter,SJE,2019,D,250000,273000,6/1/19
Jack Elliott,PHI,2019,D,250000.08,265000.08,9/13/19
Jack Elliott,PHI,2019,D,250000,265000,6/1/19
Edgar Castillo,NER,2019,D,250000,250000,6/1/19
Shea Salinas,SJE,2019,D,250000,250000,6/1/19
Edgar Castillo,NER,2019,D,249999.96,249999.96,9/13/19
Brooks Lennon,RSL,2019,D,230004,242587.33,9/13/19
Brooks Lennon,RSL,2019,D,230004,242587,6/1/19
Brek Shea,ATL,2019,D,225000,225000,6/1/19
Brek Shea,ATL,2019,D,225000,225000,9/13/19
Nick Lima,SJE,2019,D,200000,218438,6/1/19
Nick Lima,SJE,2019,D,200000.04,218437.54,9/13/19
Jeff Larentowicz,ATL,2019,D,210000,210000,6/1/19
Jeff Larentowicz,ATL,2019,D,210000,210000,9/13/19
Tony Beltran,RSL,2019,D,195000,207000,6/1/19
Tony Beltran,RSL,2019,D,195000,207000,9/13/19
Doneil Henry,VAN,2019,D,190008,204242,6/1/19
Doneil Henry,VAN,2019,D,190008,204241.71,9/13/19
João Moutinho,ORL,2019,D,140000,203000,6/1/19
João Moutinho,ORL,2019,D,139999.92,202999.92,9/13/19
Miles Robinson,ATL,2019,D,145000.08,201250.08,9/13/19
Miles Robinson,ATL,2019,D,145000,201250,6/1/19
Raymon Gaddis,PHI,2019,D,190000.08,190000.08,9/13/19
Russell Teibert,VAN,2019,D,170000.04,190000.04,9/13/19
Russell Teibert,VAN,2019,D,170000,190000,6/1/19
Raymon Gaddis,PHI,2019,D,190000,190000,6/1/19
Jasser Khmiri,VAN,2019,D,180000,180000,6/1/19
Jasser Khmiri,VAN,2019,D,180000,180000,9/13/19
Axel Sjöberg,COL,2019,D,174996,179996,6/1/19
Axel Sjöberg,COL,2019,D,174996,179996,9/13/19
Warren Creavalle,PHI,2019,D,162000,175300,6/1/19
Warren Creavalle,PHI,2019,D,162000,175300,9/13/19
Aurélien Collin,PHI,2019,D,175000.08,175000.08,9/13/19
Aurélien Collin,PHI,2019,D,175000,175000,6/1/19
Tommy Thompson,SJE,2019,D,175000,175000,6/1/19
Tommy Thompson,SJE,2019,D,174999.96,174999.96,9/13/19
Scott Sutter,VAN,2019,D,155000.04,170177.04,9/13/19
Scott Sutter,VAN,2019,D,155000,170177,6/1/19
Julio Cascante,POR,2019,D,170004,170004,6/1/19
Julio Cascante,POR,2019,D,170004,170004,9/13/19
Adam Henley,RSL,2019,D,160000,167833,6/1/19
Keegan Rosenberry,COL,2019,D,151195,164945,6/1/19
Keegan Rosenberry,COL,2019,D,151194.96,164944.96,9/13/19
Zarek Valentin,POR,2019,D,160000,160000,6/1/19
Ruan,ORL,2019,D,160000,160000,6/1/19
Zarek Valentin,POR,2019,D,159999.96,159999.96,9/13/19
Ruan,ORL,2019,D,159999.96,159999.96,9/13/19
Brent Kallman,MIN,2019,D,118000.08,151531.33,9/13/19
Alex De John,ORL,2019,D,135000,146614.17,9/13/19
Alex De John,ORL,2019,D,135000,146614,6/1/19
Lalas Abubakar,COL,2019,D,135000,144938,6/1/19
Lalas Abubakar,COL,2019,D,135000,144937.5,9/13/19
José Rafael Hernández,ATL,2019,D,140004,140004,6/1/19
José Rafael Hernández,ATL,2019,D,140004,140004,9/13/19
Shane O'Neill,ORL,2019,D,125000,139500,6/1/19
Shane O'Neill,ORL,2019,D,124999.92,139499.92,9/13/19
Brent Kallman,MIN,2019,D,118000,136456,6/1/19
Donny Toia,RSL,2019,D,131254.2,131254.2,9/13/19
Donny Toia,RSL,2019,D,131254,131254,6/1/19
Eric Miller,MIN,2019,D,108550,124425,6/1/19
Jake Nerwinski,VAN,2019,D,120000,124125,6/1/19
Jake Nerwinski,VAN,2019,D,120000,124125,9/13/19
Auston Trusty,PHI,2019,D,95000.04,124100.04,9/13/19
Auston Trusty,PHI,2019,D,95000,124100,6/1/19
Fabinho,PHI,2019,D,120000,120000,6/1/19
Fabinho,PHI,2019,D,120000,120000,9/13/19
Victor Giro,VAN,2019,D,105000,112438,6/1/19
Derek Cornelius,VAN,2019,D,99999.96,111912.46,9/13/19
Derek Cornelius,VAN,2019,D,100000,111912,6/1/19
Victor Giro,VAN,2019,D,105000,110312.5,9/13/19
Danilo Acosta,ORL,2019,D,110000.04,110000.04,9/13/19
Danilo Acosta,ORL,2019,D,110000,110000,6/1/19
Bill Tuiloma,POR,2019,D,100008,107508,6/1/19
Bill Tuiloma,POR,2019,D,100008,107508,9/13/19
Jalil Anibaba,NER,2019,D,101250,101250,6/1/19
Jalil Anibaba,NER,2019,D,101250,101250,9/13/19
Cameron Lindley,ORL,2019,D,90000,98906.25,9/13/19
Cameron Lindley,ORL,2019,D,90000,98906,6/1/19
Kortne Ford,COL,2019,D,92496,92496,9/13/19
Aaron Herrera,RSL,2019,D,86000.04,86000.04,9/13/19
Aaron Herrera,RSL,2019,D,86000,86000,6/1/19
Kortne Ford,COL,2019,D,85000,85000,6/1/19
Michael Baldisimo,VAN,2019,D,56250,83013,6/1/19
Michael Baldisimo,VAN,2019,D,56250,83012.8,9/13/19
Mark McKenzie,PHI,2019,D,72225,82225,6/1/19
Mark McKenzie,PHI,2019,D,72225,82225,9/13/19
Sam Vines,COL,2019,D,80000.04,81250.04,9/13/19
Sam Vines,COL,2019,D,80000,81250,6/1/19
Sebastian Anderson,COL,2019,D,56250,80917,6/1/19
Sebastian Anderson,COL,2019,D,56250,80916.67,9/13/19
Marco Farfan,POR,2019,D,80250,80250,6/1/19
Marco Farfan,POR,2019,D,80250,80250,9/13/19
George Bello,ATL,2019,D,75000,79000,6/1/19
George Bello,ATL,2019,D,75000,79000,9/13/19
Deklan Wynne,COL,2019,D,74250,74250,6/1/19
Deklan Wynne,COL,2019,D,74250,74250,9/13/19
