,Club,Points,Points Per Game,Games Played,Wins,Losses,Ties,Losses,Goals For,Goals Against,Goal Difference,Club Full Name
0,ORL,7,2.33,3,2,0,1,0,6,3,3,Orlando City SC
1,PHI,7,2.33,3,2,0,1,0,4,2,2,Philadelphia Union
2,NYC,3,1.0,3,1,2,0,2,2,4,-2,New York City FC
3,MIA,0,0.0,3,0,3,0,3,2,5,-3,Inter Miami CF
4,SJS,7,2.33,3,2,0,1,0,6,3,3,an Jose Earthquakes
5,SEA,4,1.33,3,1,1,1,1,4,2,2,Seattle Sounders FC
6,VAN,3,1.0,3,1,2,0,2,5,7,-2,Vancouver Whitecaps FC
7,CHI,3,1.0,3,1,2,0,2,2,5,-3,Chicago Fire FC
8,TOR,5,1.67,3,1,0,2,0,6,5,1,Toronto FC
9,NEN,5,1.67,3,1,0,2,0,2,1,1,ew England Revolution
10,MTL,3,1.0,3,1,2,0,2,4,5,-1,Montreal Impact
11,DCD,2,0.67,3,0,1,2,1,3,4,-1,.C. United
12,SKC,6,2.0,3,2,1,0,1,6,4,2,Sporting Kansas City
13,MIN,5,1.67,3,1,0,2,0,4,3,1,Minnesota United FC
14,RSL,4,1.33,3,1,1,1,1,2,2,0,Real Salt Lake
15,COL,1,0.33,3,0,2,1,2,4,7,-3,Colorado Rapids
16,CLB,9,3.0,3,3,0,0,0,7,0,7,Columbus Crew SC
17,CIN,6,2.0,3,2,1,0,1,3,4,-1,FC Cincinnati
18,RBN,3,1.0,3,1,2,0,2,1,4,-3,YNew York Red Bulls
19,ATL,0,0.0,3,0,3,0,3,0,3,-3,Atlanta United FC
20,POR,7,2.33,3,2,0,1,0,6,4,2,Portland Timbers
21,LAF,5,1.67,3,1,0,2,0,11,7,4,CLos Angeles Football Club
22,HOU,2,0.67,3,0,1,2,1,5,6,-1,Houston Dynamo
23,LAL,1,0.33,3,0,2,1,2,4,9,-5,A Galaxy
